supplier,recipient,ordered,designation_num,weapon_description,delivery_year,delivered_num,comments
" Italy
", Qatar,, 4, Fincantieri-3000, 2016, , 
" Italy
", Qatar,, 2, Fincantieri-700, 2016, , 
" Italy
", Qatar,, , Marte-ER, 2016, , 
" Italy
", Qatar,, (50), Marte-ER, 2018, , 
" Italy
", Qatar,, 12, NH-90 NFH, 2018, , 
" Italy
", Saudi Arabia, 3, Super Rapid 76mm, Naval gun, , , For 3 Combattante FS-56 FAC from France
" Italy
", Saudi Arabia,, (4), Super Rapid 76mm, (2017), , 
" Italy
", Saudi Arabia,, 5, Super Rapid 76mm, (2018), , 
" Italy
", Singapore, 8, Super Rapid 76mm, Naval gun, 2017-2018, (5), For 8 LMV (Independence) corvettes produced in Singapore
" Italy
", Slovakia, 2, C-27J Spartan, Transport aircraft, 2017-2018, 2, Selected 2008 but order delayed until 2014 after budget cuts
" Italy
", Sweden, (60), Skyward, Aircraft IRST, , , Skyward-G version |  for 60 Gripen-E combat aircraft produced in Sweden
" Italy
", Taiwan, 11, Super Rapid 76mm, Naval gun, , , For 11 Tuo Jiang corvettes produced in Taiwan
" Italy
", Thailand, 1, Super Rapid 76mm, Naval gun, 2018, 1, For 1 DW-3000 (Bhumibol Adulyadej) frigate from South Korea
" Italy
", Thailand,, 1, Super Rapid 76mm, (2015), , 
" Italy
", Thailand,, (5), AW149, 2016, 2018, (5)
" Italy
", Turkey, 2, Super Rapid 76mm, Naval gun, 2018, 1, For 2 MilGem (Ada) frigates produced in Turkey
" Italy
", Turkey,, 4, Super Rapid 76mm, (2016), , 
" Italy
", Turkey,, 9, A-129C Mangusta, 2017, , 
" Italy
", UAE, (50), Marte-2, Anti-ship missile, 2018, (25), Marte-2/N version |  for 12 Ghannatha FAC
" Italy
", Ukraine, (4), Super Rapid 76mm, Naval gun, , , For 4 Project-58250 frigates produced in Ukraine
" Italy
", Unknown country, , Falco, UAV, , , Recipient is Middle Eastern country |  Falco EVO version
" Italy
", Uruguay, 2, Bell-412, Helicopter, 2018, (2), Second-hand |  AB-412 version
" Italy
", Venezuela, 8, Compact 76mm, Naval gun, 2009-2012, 7, For 4 POVZEE (Carib\u0233?) and 4 BVL (Guaicamacuto) OPV from Spain
" Italy
", Zambia, 2, C-27J Spartan, Transport aircraft, , , Delivery probably planned 2019
" Japan
", Philippines, 5, King Air, Light transport ac, 2017-2018, 5, Second-hand |  aid |  King Air-90 (TC-90A) version
" Jordan
", Philippines, 2, AH-1F Cobra, Combat helicopter, , , Second-hand |  aid
" Jordan
", Philippines,, (60), M-113, (2018), , 
" (multiple sellers)
", Brazil, (56), V2500, Turbofan, , , For 28 KC-390 transport aircraft produced in Brazil
" Netherlands
", Tunisia, (4), OPV-1400, OPV, 2018, 4, From Romanian production line |  Tunisian designation Jugartha
" Netherlands
", Canada, 13, Sirius, EO system, 2008-2018, (13), CAD134 m ($97 m) deal (incl CAD23 m for spare parts |  incl production of components in Canada) |  for modernization of 12 Halifax frigates and 1 for training
" Netherlands
", India, 7, LW-08, Air search radar, 2014-2016, 3, For 3 Kolkata (Project-15A) and 4 Visakhapatnam (Project-15B) destroyers produced in India |  Indian designation RAWL-02 Mk-3
" Netherlands
", Malaysia, 6, SMART, Air search radar, , , Smart-S Mk-2 version for 6 Gowind frigates from France
" Netherlands
", Mexico, (1), SIGMA-105, Frigate, , , 'POLA' programme |  produced in Mexico |  Mexican designation Reformador |  delivery planned 2020
" Netherlands
", United States, (33), Stan Patrol-4708, Patrol craft, 2012-2018, 29, For coast guard
" Netherlands
", Canada, 13, SMART, Air search radar, 2014-2018, (13), For modernization of 12 Halifax (City) frigates and one training center |  SMART-S Mk-2 version
" Netherlands
", Egypt, 4, SMART, Air search radar, 2017, 1, SMART-S Mk-2 version |  for 4 Gowind frigates from France
" Netherlands
", Egypt,, 4, STING, (2014), 2017, 1
" Netherlands
", Egypt,, 1, SMART, 2017, 2018, (1)
" Netherlands
", Estonia, 44, CV-9035, IFV, 2016-2018, (44), Second-hand (but probably almost not used by Netherlands) |  CV-9035NL version
" Netherlands
", Finland, 100, Leopard-2A6, Tank, 2015-2018, (80), Second-hand |  EUR200 m deal |  delivery planned 2015-2019
" Netherlands
", Finland,, 8, BPz-2, 2017, 2018, (4)
" Netherlands
", Finland,, 8, PiPz-1, 2017, 2018, (4)
" Netherlands
", France, 3, SMART, Air search radar, 2012-2018, 3, Smart-S Mk-2 version |  for modernization of 2 Cassard frigates and 1 De Gaulle aircraft carrier
" Netherlands
", Germany, 10, MIRADOR, EO search/fire control, , , For 5 K-130 corvettes produced in FRG
" Netherlands
", Greece, 2, MIRADOR, EO search/fire control, , , For 2 Super Vita (Roussen) FAC from UK
" Netherlands
", Greece,, 2, MW-08, (2008), , 
" Netherlands
", Greece,, 2, Scout, (2008), , 
" Netherlands
", Greece,, 2, STING, (2008), , 
" Netherlands
", Jordan, 52, AGM-65 Maverick, ASM, 2017-2018, (52), Second-hand
" Netherlands
", Libya HoR, 1, Emer, OPV, 2018, 1, Second-hand |  sold via UAE company |  Libyan designation Al-Karama
" Netherlands
", Malaysia, 24, SQUIRE, Ground surv radar, 2018, (6), For 24 Pars (AV-8) APC from Turkey
" Netherlands
", New Zealand, 2, SMART, Air search radar, , , SMART-S Mk-2 version |  for modernization of 2 MEKO-200 (Anzac) frigates
" Netherlands
", Pakistan, 2, OPV-1800, OPV, , , From Romanian production line
" Netherlands
", Poland, 1, MIRADOR, EO search/fire control, , , For 1 Slazak Patrol vessel from FRG
" Netherlands
", Poland,, 1, SMART, 2014, , 
" Netherlands
", Poland,, 1, STIR, 2014, , 
" Netherlands
", Singapore, 8, NS-100, Air/sea search radar, 2017-2018, 5, EUR52 m deal |  for 8 LMV (Independence) corvettes produced in Singapore
" Netherlands
", Somalia, 6, SP-5509, Patrol craft, , , EUR132 m deal |  for coast guard |  from Romanian production line |  status uncertain
" Netherlands
", Thailand, 1, LIROD, Fire control radar, , , Lirod Mk-2 version |  for 1 BVT-90 (Krabi) OPV from UK
" Netherlands
", Thailand,, 1, Variant, (2015), , 
" Netherlands
", Turkey, 2, SMART, Air search radar, 2017-2018, 2, SMART-S Mk-2 version |  for 2 Bayraktar landing ships produced in Turkey
" Netherlands
", Turkey,, 2, SMART, (2014), 2018, 1
" Netherlands
", Turkey,, 2, STING, (2014), 2018, 1
" Netherlands
", Turkey,, 1, SMART, (2015), , 
" Netherlands
", Turkey,, 4, SMART, (2016), , 
" Netherlands
", Turkey,, 8, STING, (2016), , 
" Netherlands
", United Kingdom, 2, SMART-L, Air/sea search radar, 2017, 1, For 2 Queen Elizabeth aircraft carriers produced in UK
" Netherlands
", Venezuela, 8, MIRADOR, EO search/fire control, 2009-2012, 7, For 4 POVZEE (Carib\u0233?) and 4 BVL (Guaicamacuto) OPV from Spain
" Netherlands
", Venezuela,, 8, Scout, 2006, 2009-2012, 7
" Netherlands
", Venezuela,, 8, STING, 2006, 2009-2012, 7
" Netherlands
", Venezuela,, 4, Variant, 2006, 2009-2011, 3
" New Zealand
", Indonesia, (1), Klewang, FAC, , , 
" New Zealand
", Peru, 5, SH-2G Super Seasprite, ASW helicopter, 2018, 1, Second-hand (incl 4 modernized in Canada and USA before delivery) |  $30 m deal
" Norway
", United States, 83, Protector MC, IFV turret, 2017-2018, (83), $329 m deal |  for modernization of Stryker (Piranha) IFV to M-1296 Dragoon
" Norway
", Australia, , NASAMS-2, SAM system, , , AUD2 b ($1.5 b) 'Joint Project-117' or 'GBADWS' programme |  selected but not yet ordered by end-2018
" Norway
", Estonia, 35, CV-90, APC, , , Second-hand CV-9030N version without armament |  to be modified to several versions in Estonia |  EUR0.6 m deal
" Norway
", India, , NASAMS-2, SAM system, , , $1 b deal |  selected 2018 but not yet ordered by end-2018
" Norway
", Indonesia, 1, NASAMS-2, SAM system, , , $77 m deal
" Norway
", Ireland, (65), Protector, APC turret, , , For modernization of 65 Piranha-3 APC
" Norway
", Japan, , JSM, ASM, , , Selected but not yet ordered by end-2018
" Norway
", Kuwait, (218), Protector, APC turret, , , For modernization of 218 Kuwaiti M-1A2 tanks |  probably from US production line |  selected 2016 but probably not yet ordered by end-2017
" Norway
", Lithuania, 2, NASAMS-2, SAM system, , , EUR100 m deal |  NASAMS-2 version |  delivery by 2020
" Norway
", Malaysia, (100), NSM, Anti-ship missile, , , EUR124 m deal |  for Combat Gowind (SGVP-LCS) frigates
" Norway
", Netherlands, (140), Protector, APC turret, 2015-2018, (140), For 140 Boxer APC produced in Netherlands
" Norway
", Poland, (50), NSM, Anti-ship missile, 2017-2018, (36), For NSM coast defence systems
" Norway
", Qatar, , NASAMS-2, SAM system, , , $2 b deal
" Norway
", Qatar,, , Protector, 2018, , 
" Norway
", Qatar,, , Protector MC, 2018, , 
" Norway
", Sweden, 2, ST-2400, ASW sonar, , , For modernization of 4 G\u0246?teborg corvettes
" Norway
", United Kingdom, , Protector, APC turret, , , GBP61 m ($93 m) deal |  for Scout-SV PMRS APC from Spain
" Pakistan
", Azerbaijan, 10, MFI-17 Supporter, Trainer aircraft, 2018, (10), Super Mushshak version
" Pakistan
", Nigeria, (3), JF-17 Thunder/FC-1, FGA aircraft, , , $184.3m
" Pakistan
", Nigeria,, 10, MFI-17 Supporter, 2016, 2016-2018, 10
" Pakistan
", Turkey, 52, MFI-17 Supporter, Trainer aircraft, , , $50 m deal |  Super Mushshak version
" Poland
", Ecuador, 1, M28 Skytruck, Light transport ac, 2018, 1, 
" Poland
", Nepal, (4), M28 Skytruck, Light transport ac, , , Selected but not yet ordered by end-2018 |  financed by USA
" Poland
", Ukraine, (100), Warmate, Loitering munition, 2018, (100), 
" Poland
", Unknown recipient(s), (100), Warmate, Loitering munition, 2018, (100), Recipient is Middle Eastern or Asian country
" Poland
", Unknown recipient(s),, (100), Warmate, 2017, 2018, (100)
" Portugal
", Colombia, 2, AS365/AS565 Panther, Helicopter, 2018, 2, Second-hand |  $7 m deal |  AS-365N3 version
" Qatar
", Mali, 24, Storm, APC/APV, 2018, 24, Aid
" Qatar
", Somalia, 68, Storm, APC/APV, , , Aid |  delivery 2019
" Russia
", China, , AK-176 76mm, Naval gun, 2008-2018, (28), Chinese-produced H/PJ-26 version for 28 or more Type-054A (Jiangkai-2) frigates produced in China
" Russia
", China,, , Mineral/Band Stand, (2004), 2005-2018, (30)
" Russia
", China,, (8), AK-176 76mm, (2005), 2007-2018, 5
" Russia
", China,, , AK-176 76mm, (2010), 2013-2018, (44)
" Russia
", India, (400), PJ-10 BrahMos, Anti-ship MI/SSM, 2006-2018, (165), Officially joint venture for development but mainly using Russian technology from Yakhont (SS-N-26) anti-ship missile
" Russia
", India,, (426), PJ-10 BrahMos, 1998, 2006-2018, (280)
" Russia
", India,, 140, Su-30MK, (2001), 2005-2018, (120)
" Russia
", India,, 8, RBU-6000, (2003), 2014-2017, 6
" Russia
", India,, 300, T-90S, 2006, 2009-2018, (300)
" Russia
", India,, (63), MiG-29SMT/Fulcrum-F, 2008, 2012-2018, (22)
" Russia
", India,, (216), PJ-10 BrahMos-A, (2012), , 
" Russia
", India,, 25000, 9M119 Svir/AT-11, 2013, 2014-2018, (6000)
" Russia
", India,, 236, T-90S, (2013), , 
" Russia
", India,, 464, T-90S, (2016), , 
" Russia
", India,, 149, BMP-2, (2017), , 
" Russia
", India,, (200), Ka-226T Sergei, (2017), , 
" Russia
", India,, 5175, Igla-S/SA-24, 2018, , 
" Russia
", India,, 4, Talwar, 2018, , 
" Russia
", Iran, , 9M111 Fagot/AT-4, Anti-tank missile, 1993-2018, (5350), For BMP-2 and Boraq IFV
" Russia
", Iran,, . ., 9M14M/AT-3, (1995), 1996-2018, (4850)
" Russia
", Iran,, , 9M113 Konkurs/AT-5, (1998), 1999-2018, (3200)
" Russia
", Turkey, (4), S-400/SA-21, SAM system, , , Version incl Turkish components |  option on 1 more |  delivery planned 2019-2020
" Russia
", Algeria, (1000), 9M120 Ataka/AT-9, Anti-tank missile, 2016-2018, (1000), For Mi-28 combat helicopters |  designation uncertain (possibly not 9M120 but 9M114)
" Russia
", Algeria,, 42, Mi-28N, 2013, 2016-2018, (42)
" Russia
", Algeria,, (40), 53-65, (2014), 2018, (40)
" Russia
", Algeria,, 2, Project-636E/Kilo, 2014, 2018, 2
" Russia
", Algeria,, (40), TEST-71, (2014), 2018, (40)
" Russia
", Algeria,, 14, Su-30MK, 2015, 2016-2018, (14)
" Russia
", Algeria,, (300), BMPT Terminator, (2016), 2018, (25)
" Russia
", Angola, 12, Su-30K, FGA aircraft, 2017-2018, (4), Second-hand (originally delivered to India but returned to Russian producer) but modernized in Belarus before delivery |  financed with Russian loan
" Russia
", Azerbaijan, (70), BTR-82A, IFV, 2017-2018, (70), 
" Russia
", Azerbaijan,, (800), 9M123/AT-15, (2017), 2017-2018, (800)
" Russia
", Azerbaijan,, (24), 9P157-2 Khrizantema-S, (2017), 2017-2018, (24)
" Russia
", Bangladesh, 5, Mi-8MT/Mi-17, Transport helicopter, , , Mi-171Sh armed version
" Russia
", Belarus, (7), Protivnik-GE, Air search radar, 2016-2018, (4), Delivery planned 2016-2020
" Russia
", Belarus,, , T-72B3, 2015, 2017-2018, (14)
" Russia
", Belarus,, 4, Yak-130, 2015, , 
" Russia
", Belarus,, (39), KAMAZ-7403, 2016, 2018, (7)
" Russia
", Belarus,, (100), 9M338/SA-15, 2017, 2018, (100)
" Russia
", Belarus,, 12, Su-30MK, 2017, , 
" Russia
", Belarus,, 4, Tor-M1/SA-15, 2017, 2018, 4
" Russia
", Burkina Faso, 2, Mi-8MT/Mi-17, Transport helicopter, 2018, (2), Mi-171Sh armed version
" Russia
", China, , Fregat/Top Plate, Air search radar, 2005-2018, (30), For 28 or more Type-054A (Jiangkai-2) frigates and 1 Liaoning aircraft carrier produced in China |  probably produced (possibly without license) in China
" Russia
", China,, , MR-90/Front Dome, (2004), 2005-2018, (120)
" Russia
", China,, (150), AL-31, 2011, 2012-2018, (120)
" Russia
", China,, (300), 48N6/SA-10, 2015, 2018, (250)
" Russia
", China,, (10), AL-41F, 2015, 2016-2018, (10)
" Russia
", China,, (8), S-400/SA-21, 2015, 2018, (4)
" Russia
", China,, 24, Su-35, 2015, 2016-2018, 24
" Russia
", Cote d'Ivoire, (2), KAMAZ-7403, Diesel engine, 2018, (2), For modernized BTR-70MB1 from Belarus
" Russia
", Egypt, (1000), 9A1472 Vikhr/AT-16, Anti-tank missile, 2017-2018, (600), For Ka-52K combat helicopters
" Russia
", Egypt,, (1000), 9M120 Ataka/AT-9, (2015), 2017-2018, (600)
" Russia
", Egypt,, 1, EgyptSat-2, (2015), , 
" Russia
", Egypt,, 46, Ka-52/Hokum-B, (2015), 2017-2018, (34)
" Russia
", Egypt,, (50), MiG-29M, 2015, 2017-2018, (27)
" Russia
", Egypt,, (300), R-73/AA-11, (2015), 2017-2018, (150)
" Russia
", Egypt,, (300), RVV-AE/AA-12 Adder, (2015), 2017-2018, (150)
" Russia
", Equatorial Guinea, 1, Mi-8MT/Mi-17, Transport helicopter, 2018, 1, Mi-172 version |  1 more delivered for government VIP transport
" Russia
", Ghana, 1, Mi-35M, Combat helicopter, , , Probably second-hand Mi-24 rebuilt to Mi-35M version
" Russia
", India, 8, AK-630 30mm, Naval gun, 2014-2017, 6, For 4 Kamorta (Project-28) frigates produced in India
" Russia
", India,, 10, AK-630 30mm, (2011), , 
" Russia
", India,, (740), AL-31, 2012, 2013-2018, (385)
" Russia
", India,, 16, AK-630 30mm, (2013), , 
" Russia
", India,, (250), YaMZ-238, 2016, 2017-2018, (200)
" Russia
", India,, (650), 48N6/SA-10, (2017), , 
" Russia
", India,, (2), A-50EhI, 2017, , 
" Russia
", India,, (5000), 9M113 Konkurs/AT-5, 2018, , 
" Russia
", India,, 48, Mi-8MT/Mi-17, (2018), , 
" Russia
", India,, 1, Project-971I/Akula, (2018), , 
" Russia
", India,, (20), S-400/SA-21, 2018, , 
" Russia
", Indonesia, 11, Su-35, FGA aircraft, , , $1.1 b deal (incl $570 million paid in commodities and 35% offsets) |  delivery planned from 2019
" Russia
", Iraq, (48), 96K9 Pantsyr-S1, Mobile AD system, 2014-2018, (48), Part of $4.2-5 b deal
" Russia
", Iraq,, (1200), 9M311/SA-19, 2013, 2014-2018, (1200)
" Russia
", Iraq,, (3000), 9M117 Bastion/AT-10, (2015), 2018, (500)
" Russia
", Iraq,, (300), BMP-3, 2015, 2018, (50)
" Russia
", Iraq,, 73, T-90S, 2016, 2018, (73)
" Russia
", Jordan, 4, Mi-26, Transport helicopter, 2018, 2, 
" Russia
", Kazakhstan, (100), 9M317/SA-17 Grizzly, SAM, , , 
" Russia
", Kazakhstan,, 1, Buk-M2/SA-17, (2017), , 
" Russia
", Kazakhstan,, 4, Mi-35M, 2017, 2018, (4)
" Russia
", Kazakhstan,, 12, Su-30MK, 2017, 2017-2018, 6
" Russia
", Kazakhstan,, , Mi-8MT/Mi-17, (2018), , 
" Russia
", Kazakhstan,, 8, Su-30MK, 2018, , 
" Russia
", Laos, (10), Yak-130, Trainer/combat ac, 2018, (4), 
" Russia
", Laos,, (10), BRDM-2, 2018, , 
" Russia
", Laos,, (24), T-72B, 2018, 2018, (12)
" Russia
", Mali, (4), Mi-35M, Combat helicopter, 2017, 2, 
" Russia
", Myanmar, (16), RD-33, Turbofan, 2018, (6), For 16 JF-17 combat aircraft from China
" Russia
", Myanmar,, (12), Yak-130, 2015, 2017-2018, 12
" Russia
", Myanmar,, 6, Su-30MK, (2018), , 
" Russia
", Nigeria, 12, Mi-8MT/Mi-17, Transport helicopter, , , Armed Mi-171Sh version
" Russia
", Nigeria,, (300), 9M114 Shturm/AT-6, (2015), 2017-2018, (100)
" Russia
", Nigeria,, 12, Mi-35M, 2015, 2017-2018, 4
" Russia
", Nigeria,, (3), RD-33, (2016), , 
" Russia
", Pakistan, (220), RD-33, Turbofan, 2007-2018, (157), RD-93 version |  for JF-17 combat aircraft from China
" Russia
", Pakistan,, 4, Mi-35M, 2015, 2018, 4
" Russia
", Qatar, (200), Igla-S/SA-24, Portable SAM, 2017-2018, (100), For NMS armoured vehicles
" Russia
", Serbia, 30, BRDM-2, Reconnaissance AV, , , Second-hand |  aid |  delivery planned 2019
" Russia
", Serbia,, 30, T-72B, 2016, , 
" Russia
", Serbia,, 2, An-26, 2017, , 
" Russia
", Serbia,, 7, Mi-35M, (2018), , 
" Russia
", Serbia,, 3, Mi-8MT/Mi-17, (2018), , 
" Russia
", Sudan, (12), Mi-8MT/Mi-17, Transport helicopter, 2015-2016, (8), 
" Russia
", Syria, (200), 48N6/SA-10, SAM, 2018, (200), Probably second-hand |  for 3 S-300PM/S-300PM2 SAM systems |  aid
" Russia
", Syria,, 3, S-300PMU1/SA-20A, (2018), 2018, 3
" Russia
", Thailand, 6, Mi-8MT/Mi-17, Transport helicopter, 2018, 2, THB5 b ($145 m) deal |  Mi-17V-5 version
" Russia
", Turkey, (125), 48N6/SA-10, SAM, , , For S-400 SAM systems
" Russia
", UAE, 5000, Kornet/AT-14, Anti-tank missile, 2018, (2000), AED2.6 b ($709 m) deal
" Russia
", Uzbekistan, (12), Mi-35M, Combat helicopter, , , 
" Russia
", Viet Nam, 2, Gepard-3, Frigate, 2017-2018, 2, Gepard-3.9 version
" Russia
", Viet Nam,, (30), Kh-35 Uran/SS-N-25, (2012), 2017-2018, (30)
" Russia
", Viet Nam,, (30), TEST-71, (2012), 2017-2018, (30)
" Russia
", Viet Nam,, 64, T-90S, 2017, 2018, (30)
" Serbia
", UAE, , ALAS, Coast defence system, , , Incl production of components in UAE
" Serbia
", UAE,, . ., ALAS-C, (2013), , 
" Slovakia
", Azerbaijan, (36), DANA 152mm, Self-propelled gun, 2017-2018, (36), Second-hand |  refurbished before delivery
" South Africa
", India, 250, Casspir-6, APC, 2017-2018, (200), MPV-I version |  incl production of components and final assembly in India
" South Africa
", Jordan, 50, Mbombe-6, APC, 2016-2018, (25), Incl 25 assembled/produced in Jordan
" South Africa
", Kazakhstan, (90), Marauder, APC, 2016-2018, (90), Produced in Kazakhstan as Arlan
" South Africa
", Kazakhstan,, , Mbombe-6, 2013, , 
" South Africa
", Singapore, , Marauder, APC, 2016-2017, (107), PCSV ALV Belrex version
" South Africa
", UAE, , N35, APC, 2018, (20), N35-4 and N35-6 versions |  incl assembly or production in UAE |  UAE designation Jais
" South Africa
", Uganda, (45), Mamba, APC, 2014-2018, (25), Nyoka version |  produced in Uganda
" South Africa
", Malaysia, 216, Ingwe, Anti-tank missile, 2016-2018, (135), Part of EUR340 m deal |  for Pars (AV-8) IFV
" South Africa
", Malaysia,, 123, LCT-30, 2012, 2016-2018, (45)
" South Africa
", Malaysia,, 54, MCT, 2012, , 
" South Africa
", Malaysia,, 54, Rogue, 2012, , 
" South Africa
", UAE, , Seeker-200, UAV, , , AED48 m/ZAR182 m deal
" South Africa
", United States, (12), Cheetah-C, FGA aircraft, 2018, (12), Second-hand |  for US company for training of US armed forces
" South Africa
", Unknown recipient(s), , Seeker-400, UAV/armed UAV, , , Recipient is possibly Middle Eastern country
" South Korea
", Viet Nam, 1, Po Hang, Corvette, 2018, 1, Second-hand |  probably aid |  part of armament removed before delivery
" South Korea
", Colombia, (12), STX-250t, Patrol craft, 2015, 1, Colombian designation CPV-46
" South Korea
", India, 100, K-9 Thunder 155mm, Self-propelled gun, 2018, (10), INR42 b ($646 m) deal (produced in India) |  K-9 Vajra-T version |  probably option on 50 more |  deliver planned 2018-2020
" South Korea
", Indonesia, (80), KFX, FGA aircraft, , , Possibly $1.6 b deal (Indonesia financing up to 20% of development cost |  including limited Indonesian involvement in development) |  Indonesian designation IFX |  selected but not yet ordered by end-2018 |  delivery planned after 2025
" South Korea
", Indonesia,, 3, Type-209/1400, 2011, 2017-2018, 2
" South Korea
", Indonesia,, 1, LPD-122m, 2017, , 
" South Korea
", Malaysia, 2, Gagah Samudera, OPV/Training ship, 2017-2018, 2, MYR294 m ($95 m) deal |  produced in Malaysia
" South Korea
", Malaysia,, 6, MSC, 2014, , 
" South Korea
", Peru, 2, LPD-122m, AALS, 2018, 1, Part of $383 m deal |  produced in Peru |  Peruvian designation Pisco |  delivery planned 2018-2019
" South Korea
", Peru,, 1, PGCP-50, 2018, , 
" South Korea
", Poland, 96, K-9, SPG chassis, 2018, (8), KRW308 b ($260 m) deal |  incl production in Poland |  for 96 Krab self-propelled guns produced in Poland for planned delivery by 2024
" South Korea
", Turkey, (70), K-10, ALV, 2013-2018, (52), Part of $998 m deal |  produced in Turkey |  Turkish designation Firtina FAARV or POYRAZ MTS
" South Korea
", United Kingdom, 4, Tide, Oiler, 2017-2018, 3, GBP452 m deal ($560-605m |  incl GBP150 m spend in UK incl design and production of components in UK) |  part of 'MARS' programme |  UK designation Tide |  delivery planned 2017-2019
" South Korea
", Brazil, 1, Daewoo-2800t, OPV, , , Part of $1 b deal |  designation uncertain (reported as 'patrol craft' or 2800t 'patrol boat')
" South Korea
", Brazil,, 1, LPD-122m, (2016), , 
" South Korea
", Estonia, 12, K-9 Thunder 155mm, Self-propelled gun, , , EUR46 m. deal |  delivery planned 2021
" South Korea
", Finland, 48, K-9 Thunder 155mm, Self-propelled gun, 2018, (5), Second-hand |  EUR146 m deal |  option on more |  delivery planned 2018-2024
" South Korea
", Indonesia, 3, KT-1 Woong Bee, Trainer aircraft, , , KT-1B version |  delivery planned by 2020/2021
" South Korea
", New Zealand, 1, Polar, Support ship, , , NZD493 m ($348 m) deal |  New zealdn designation Aoteoroa |  delivery planned 2020
" South Korea
", Norway, 1, AEGIR-18R, Support ship, 2018, 1, NOK1.3 b ($157-220 m) deal (100% offsets) |  Norwegian designation Maud
" South Korea
", Norway,, 24, K-9 Thunder 155mm, 2017, , 
" South Korea
", Peru, 5, PGCP-50, Patrol craft, 2016-2017, 4, $71-83 m deal |  assembled from kits in Peru |  for coast guard |  delivery planned 2016-2019
" South Korea
", Philippines, 8, AAV-7A1, APC, , , PHP2.4 b ($53 m) deal |  delivery planned 2019
" South Korea
", Philippines,, 2, HHI-2600, 2016, , 
" South Korea
", Philippines,, 1, Po Hang, (2017), , 
" South Korea
", Saudi Arabia, , Raybolt, Anti-tank missile, 2018, (100), 
" South Korea
", Senegal, 4, KT-1 Woong Bee, Trainer aircraft, , , Delivery planned 2018
" South Korea
", Thailand, 1, DW-3000, Frigate, 2018, 1, THB15 b ($466 m) deal |  Thai designation Bhumibol Adulyadej
" South Korea
", Thailand,, 1, DW-3000, (2015), , 
" South Korea
", Thailand,, 4, T-50 Golden Eagle, 2015, 2018, 4
" South Korea
", Thailand,, 8, T-50 Golden Eagle, 2017, , 
" Spain
", Australia, 3, Hobart, Destroyer, 2017-2018, 2, AUD8.5-9.7 b ($7.2-8.2 b) 'Project Sea-4000' or 'Air Warfare Destroyer' |  delivery planned 2017-2020
" Spain
", Belgium, 7, A400M Atlas, Transport aircraft, , , Incl production of components in Belgium (incl for other buyers) |  delivery planned 2019-2020/2021
" Spain
", India, 56, C-295, Transport aircraft, , , INR120-130 b ($1.8-2.3 b) 'Medium Tactical Aircraft' (MTA) or 'Light Tactical Transport Procurement' (LTTP) programme (incl 40 assembled or produced in India) |  C295W version |  selected 2015 but not yet ordered by end-2018
" Spain
", Turkey, 10, A400M Atlas, Transport aircraft, 2014-2018, 7, Incl production of components in Turkey (also for A400M for other customers) |  delivery planned 2014-2019
" Spain
", Turkey,, 1, BPE, 2015, , 
" Spain
", Ukraine, , Alakran 120mm, Self-propelled mortar, , , Incl production of components in Ukraine |  for MMC mortar carrier produced in Ukraine
" Spain
", United Kingdom, 245, Scout-SV, Reconnaissance AV, 2018, (6)," Part of GBP3.5 b ($5.6 b) 'SV Scout' programme |  incl 198 Reconnaissance and Strike, 23 Joint Fire Control and 24 Ground-Based Surveillance versions |  UK designation Ajax"
" Spain
", United Kingdom,, 344, Scout-SV, 2014, , 
" Spain
", Venezuela, 4, BVL, OPV, 2009-2011, 3, Part of EUR1.2 b deal |  Venezuelan designation Guaicamacuto |  incl 1 produced in Venezuela
" Spain
", Angola, 3, C-295MPA, MP aircraft, , , EUR160 m deal
" Spain
", Australia, 2, Cantabria, Oiler, , , AUD642 b ($490 m) Project Sea-1654 Phase-3 |  delivery planned 2019-2020
" Spain
", Belgium, 1, A-330 MRTT, Tanker/transport ac, , , Part of EU/NATO 'MMF' programme
" Spain
", Brazil, 2, C-295, Transport aircraft, 2017, 1, For SAR |  Brazilian designation SC-105 |  delivery planned 2017-2019
" Spain
", Brazil,, 1, C-295, 2018, , 
" Spain
", Canada, 16, C-295, Transport aircraft, , , CAD2.4 b 'FWSAR' programme |  C-295W version |  incl for SAR |  delivery planned 2019-2022
" Spain
", Cote d'Ivoire, 1, C-295, Transport aircraft, , , C-295W version |  selected but not yet ordered by end-2018 |  delivery planned 2019
" Spain
", Czechia, 2, C-295, Transport aircraft, , , 
" Spain
", Equatorial Guinea, 1, C-295, Transport aircraft, , , Selected but not yet ordered end-2018
" Spain
", Equatorial Guinea,, 1, C-295MPA, (2017), , 
" Spain
", Luxembourg, 1, A400M Atlas, Transport aircraft, , , Bought in cooperation with Belgium (in addition to 7 bought by Belgium) |  delivery planned 2019
" Spain
", NATO**, 2, Lanza-LTR, Air search radar, 2017-2018, (2), Lanza-LTR-25 version
" Spain
", Netherlands, 2, A-330 MRTT, Tanker/transport ac, , , Ordered in cooperation with Luxembourg as part of EU/NATO 'MMF' programme |  delivery planned 2020
" Spain
", Saudi Arabia, 2, C-295MPA, MP aircraft, 2018, 2, For Ministry of Interior
" Spain
", Saudi Arabia,, (100), Alakran 120mm, 2016, 2017-2018, (100)
" Spain
", Saudi Arabia,, 5, Avante-2200, 2018, , 
" Spain
", Singapore, 6, A-330 MRTT, Tanker/transport ac, 2018, (2), 
